id,IdDataset,NombreConjuntoDatos,UrlConexionAPI
50,b7917a,"Datos soporte del proceso de Demandas por Código sic agente, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=b7917a
51,f96857,"Datos soporte del proceso de Demandas por Código Sic Frontera, Submercado, Tipo enlace, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f96857
52,29517d,"Datos soporte del proceso de Demandas por Recurso, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=29517d
53,0fa2ac,"Datos soporte del proceso de Demandas por Recurso, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=0fa2ac
54,ea754c,Datos soporte del proceso de Demandas por versión y diaria,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=ea754c
55,2a301d,"Datos soporte del proceso de Despacho Ideal por Recurso, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=2a301d
56,a704ee,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, Tipo combustible, versión y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=a704ee
57,f09333,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, Unidad, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=f09333
58,4eb7e3,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=4eb7e3
59,c41fe8,"Datos soporte del proceso de liquidación por Código sic agente, Recurso, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=c41fe8
60,28b062,"Datos soporte del proceso de liquidación por Código sic agente, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=28b062
61,0220e0,"Datos soporte del proceso de liquidación por Código sic agente, versión y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=0220e0
62,206062,"Datos soporte del proceso de liquidación por Código sic agente, versión, horaria y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=206062
63,32afa5,"Datos soporte del proceso de liquidación por descripción convocatoria, Código convocatoria subasta, Fecha asignación subasta, versión y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=32afa5
64,5fc353,"Datos soporte del proceso de liquidación por Recurso, Tipo combustible, versión y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=5fc353
65,6dc639,"Datos soporte del proceso de liquidación por Recurso, versión y diaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=6dc639
66,2d5afe,"Datos soporte del proceso de liquidación por Recurso, versión y horaria",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=2d5afe
67,9795ba,"Datos soporte del proceso de liquidación por Tipo combustible, versión y mensual",https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=9795ba
68,7c8129,Datos soporte del proceso de liquidación por versión y diaria,https://www.simem.co/backend-files/api/PublicData?startDate=2025-09-05&endDate=2025-09-05&datasetId=7c8129
